"#";"RefDes";"Value";"Voltage";"Pattern";"Quantity"
"1";"C1, C3, C11, C12, C13, C15, C17, C19";"0.1uF";"25";"C0805";"8"
"2";"C2, C4, C10, C18, C20, C21";"10uF";"16";"C0805";"6"
"3";"C5, C101, C103";"68u";"10";"E2-5";"3"
"4";"C6, C7";"4700pF";"25";"C0805";"2"
"5";"C8, C9";"47nF";"25";"C0805";"2"
"6";"C14, C16";"33pF";"25";"C0805";"2"
"7";"C102, C110, C114, C116, C127, C131";"0.1u";"25";"C0805";"6"
"8";"C104, C120, C126, C132, C139";"2.2u";"63";"C1210";"5"
"9";"C105, C106, C121, C138";"1000u";"63";"E7,5-16";"4"
"10";"C107";"47u";"63";"E2,5-7";"1"
"11";"C108";"100pF";"25";"C0805";"1"
"12";"C109, C119, C122, C133, C134";"10nF";"63";"C0805";"5"
"13";"C111, C113";"4.7nF";"25";"C0805";"2"
"14";"C112";"4.7u";"25";"C0805";"1"
"15";"C115, C125, C128, C135";"33nF";"63";"C0805";"4"
"16";"C117, C123, C129, C136";"0.68";"63";"C102-064X133";"4"
"17";"C118, C124, C130, C137";"1nF";"63";"C0805";"4"
"18";"D1";"";"";"LED3";"1"
"19";"D101";"green";"";"LED3";"1"
"20";"D102";"yellow";"";"LED3";"1"
"21";"J1";"I2C";"";"HDR-1x3";"1"
"22";"J101";"Mode1";"";"HDR-1x3";"1"
"23";"J102";"Mode2";"";"HDR-1x3";"1"
"24";"J103";"Mode3";"";"HDR-1x3";"1"
"25";"JP1";"I2C Addr";"";"HDR-1x2";"1"
"26";"L101, L102, L103, L104";"10uH";"";"IHLP5050";"4"
"27";"Q1";"12.288MHz";"";"F924";"1"
"28";"R1, R2, R3";"470";"";"M0805";"3"
"29";"R4";"15K";"";"M0805";"1"
"30";"R5";"1M";"";"M0805";"1"
"31";"R6, R7";"4.7k";"";"M0805";"2"
"32";"R101";"1.2k";"";"M0805";"1"
"33";"R102";"6.8k";"";"M0805";"1"
"34";"R103, R104, R105, R113, R114, R116, R117, R118, R120";"3.3R";"";"M0805";"9"
"35";"R106";"47k";"";"M0805";"1"
"36";"R107";"22k";"";"M0805";"1"
"37";"R108, R109, R110, R111, R112";"100R";"";"M0805";"5"
"38";"R115, R119, R121";"10k";"";"M0805";"3"
"39";"U1";"NCP702-3.3";"";"SOT23-5";"1"
"40";"U2";"TAS5548";"";"SOP50P810X120-57N";"1"
"41";"U101";"LM7812";"";"TO-220";"1"
"42";"U102";"TAS5631B";"";"PHD64_8X8";"1"
"43";"X1";"+5";"";"Molex KK 2.5 x2";"1"
"44";"X2";"PWM L";"";"HDR-1x2";"1"
"45";"X3";"PWM 6";"";"HDR-1x2";"1"
"46";"X4";"PWM R";"";"HDR-1x2";"1"
"47";"X5";"PWM 5";"";"HDR-1x2";"1"
"48";"X6";"PWM 8";"";"HDR-1x2";"1"
"49";"X7";"PWM 7";"";"HDR-1x2";"1"
"50";"X8";"PWM 4";"";"HDR-1x2";"1"
"51";"X9";"PWM 3";"";"HDR-1x2";"1"
"52";"X10";"Control";"";"HDR-2x4";"1"
"53";"X11";"PWM 2";"";"HDR-1x2";"1"
"54";"X12";"I2S Out";"";"HDR-1x5";"1"
"55";"X13";"PWM 1";"";"HDR-1x2";"1"
"56";"X14";"VALID";"";"HDR-1x2";"1"
"57";"X15";"I2S 1";"";"HDR-1x5";"1"
"58";"X16";"Streamer";"";"HDR-2x6";"1"
"59";"X17";"I2S 2";"";"HDR-1x5";"1"
"60";"X18";"I2S_in1";"";"HDR-1x5";"1"
"61";"X19";"I2S_in2";"";"HDR-1x5";"1"
"62";"X20";"I2S 3";"";"HDR-1x5";"1"
"63";"X21";"I2S 4";"";"HDR-1x5";"1"
"64";"X101";"+15";"";"Molex KK 2.5 x2";"1"
"65";"X102";"PVDD";"";"Molex KK 3.96 x4";"1"
"66";"X103, X104";"Reset";"";"HDR-1x2";"2"
"67";"X105";"PWM";"";"MA04-2";"1"
"68";"X106";"Control";"";"MA04-2";"1"
"69";"X107";"Ch 1";"";"Molex KK 3.96 x2";"1"
"70";"X108";"Ch 2";"";"Molex KK 3.96 x2";"1"
"71";"Y1";"12.288 MHz";"";"CFPX-5";"1"
